SUM của number,tinh,,,,,,,,,,,,,,,,,,,,
date,Vĩnh Phúc,TP. Hồ Chí Minh,TP Hồ Chí Minh,Tiền Giang,Phú Thọ,Nghệ An,Long An,Lạng Sơn,Hồ Chí Minh,Hải Dương,Hà Tĩnh,Hà Nội,Hà Nam,Bình Dương,Bệnh viện K cơ sở Tân Triều,Bệnh viện Bệnh Nhiệt đới Trung ương cơ sở Đông Anh,Bắc Ninh,Bắc Kạn,Bắc Giang,,Tổng cộng
15/06/2021,,90,,,,,,2,,,3,1,,12,,,55,,235,,398
14/06/2021,,82,,14,,1,,,,,22,4,,4,,,17,1,121,,266
13/06/2021,,69,26,,1,,,2,,,9,2,,1,,,54,,129,,293
12/06/2021,,84,,10,,,,1,,,5,,,,,,34,,125,,259
11/06/2021,,30,,,,,,,18,,8,6,,,,,28,,95,,185
10/06/2021,,61,,2,,,1,1,,1,5,4,,,,,45,,91,,211
09/06/2021,,40,,,,,,1,,,3,5,,,1,,35,,43,,128
08/06/2021,,25,,,,,,5,14,,1,2,,,,1,25,,98,,171
07/06/2021,,20,,,,,,7,26,,2,1,2,1,1,,29,,122,,211
06/06/2021,,31,,,,,,,,,5,,,2,,,40,,121,,199
05/06/2021,2,31,,1,,,,1,,,2,,1,2,1,1,55,,149,,246
,,,,,,,,,,,,,,,,,,,,0,0
Tổng cộng,2,563,26,27,1,1,1,20,58,1,65,25,3,22,3,2,417,1,1329,0,2567
